brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
SAS,0,Bout Time LT,3,198.95,5.0,0,0
,0,,0,0,0.0,0,0
Taos Footwear,67,Starsky,3,109.95,5.0,67,100
Allen Edmonds,0,Park Sneaker,0,295.0,0.0,0,0
Allen Edmonds,0,Courtside,0,245.0,0.0,0,0
Lacoste,0,Gripshot 0120 1,0,49.97,0.0,0,0
Lacoste,0,Esparre Chukka 0320 1,0,115.0,0.0,0,0
Lacoste,0,Courtline 0120 1,0,87.5,0.0,0,0
Lacoste,0,Chaymon Club 0120 1,0,84.0,0.0,0,0
Lacoste,0,Hapona 120 1,0,80.5,0.0,0,0
Supply Lab,0,Sylas,0,129.95,0.0,0,0
Supply Lab,0,Sylas,0,129.95,0.0,0,0
Supply Lab,0,Samba,0,129.95,0.0,0,0
Supply Lab,0,Samba,0,129.95,0.0,0,0
Ted Baker,100,Ruprt,1,102.99,4.0,100,100
Ben Sherman,0,Ollie Trainer,0,40.52,0.0,0,0
Ben Sherman,50,Bradford Oxford,2,41.14,4.0,100,100
Ben Sherman,80,Bradford Chukka,6,42.99,4.0,80,50
BOSS Hugo Boss,0,Glaze Low Top Sneakers,0,198.0,0.0,0,0
,0,,0,0,0.0,0,0
BILLY Footwear,0,Comfort Classic Lo,0,72.12,0.0,0,0
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
Helly Hansen,0,Gerton,0,81.03,0.0,0,0
Psudo,100,Sport,1,98.0,5.0,100,100
Psudo,100,Wing,1,98.0,5.0,100,100
Tommy Bahama,60,Exodus,5,65.0,3.0,60,80
Wolverine Heritage,100,1000 Mile Original Sneaker Lo,1,199.95,2.0,100,100
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
Steve Madden,0,Listonn,0,89.95,0.0,0,0
Steve Madden,0,Listonn,0,89.95,0.0,0,0
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
Vivobarefoot,97,Ra II,40,150.0,4.0,87,85
PUMA,100,Cell Endura Animal Kingdom,2,80.65,4.0,50,100
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
Ben Sherman,80,Pete Slip-On,6,65.0,4.0,50,80
Camper,100,Brutus - K100245,1,169.95,5.0,100,100
Original Penguin,0,Sammy,0,54.99,0.0,0,0
Ted Baker,0,Peray,0,102.99,0.0,0,0
Alegria,67,Flexer,3,149.95,5.0,67,100
Propet,71,Propet One LT,7,61.44,3.0,100,86
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
GREATS,100,Royale Knit,1,119.95,5.0,100,100
GREATS,100,Royale Knit,1,119.95,5.0,100,100
Gordon Rush,0,Tristan,0,174.99,0.0,0,0
Gordon Rush,0,Tristan,0,177.0,0.0,0,0
BOSS Hugo Boss,0,Saturn Low Profile Sneaker by BOSS,0,248.0,0.0,0,0
BOSS Hugo Boss,0,Rapid Low Top Sneaker by BOSS,0,248.0,0.0,0,0
,0,,0,0,0.0,0,0
Gola,68,Harrier,37,95.0,4.0,47,83
Lacoste,0,Gripshot Chukka 07211,0,99.95,0.0,0,0
Ted Baker,100,Lhenstr,1,119.99,4.0,100,100
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
Caterpillar Casual,0,Hex,0,64.95,0.0,0,0
Clarks,75,Un Trail Form,9,53.12,4.0,78,75
Clarks,80,Un Costa Step,10,129.95,4.0,60,80
SeaVees,88,12/64 Huntington Middie,8,108.0,4.0,88,88
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
,0,,0,0,0.0,0,0
PUMA Golf,0,Suede G Patch LE,0,109.95,0.0,0,0
TravisMathew,83,Quincy,7,94.95,5.0,100,100
johnnie-O,0,Stealth Slip-On Sneaker,0,98.0,0.0,0,0
johnnie-O,0,Stealth Slip-On Sneaker,0,98.0,0.0,0,0
ALDO,71,Aauwen-R,12,44.99,4.0,55,83
PUMA,0,Cell Alien OG Space Punk,0,84.99,0.0,0,0
Gola,100,Grandslam Leather,1,100.0,5.0,100,100
Michael Kors,100,Keating,1,168.0,3.0,100,100
Michael Kors,100,Keating,1,168.0,3.0,100,100
,0,,0,0,0.0,0,0
Vibram FiveFingers,60,CVT-Hemp,5,100.0,5.0,80,100
SeaVees,66,02/64 Baja Slip-on Standard,32,68.0,4.0,70,90
SAS,0,Suprhon,0,248.95,0.0,0,0
,0,,0,0,0.0,0,0
Gola,0,Quota II (Toddler/Little Kid),1,42.65,5.0,0,0
Thousand Fell,0,Lace-Up,0,120.0,0.0,0,0
PUMA,0,Future Rider Contrast,0,80.0,0.0,0,0
,0,,0,0,0.0,0,0
Rockport,0,Total Motion Lite CVO,1,109.95,4.0,0,0
Frye,0,Walker Midlace,0,347.95,0.0,0,0
PUMA,100,Trailfox Overland,1,90.99,5.0,100,100
