brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
New Balance,63,Fresh Foam Vongo v4,8,82.63,5.0,100,75
New Balance,71,Minimus T10v1,279,114.95,4.0,88,100
New Balance,74,Made in US 990v5,0,174.99,0.0,87,90
New Balance,75,890v8,4,71.82,3.0,50,75
New Balance,100,Shando,1,89.95,4.0,100,100
New Balance,93,Nitrel v4,16,69.95,4.0,81,100
New Balance,75,890v8,4,85.8,3.0,50,75
New Balance,79,Fresh Foam More v2,14,164.95,3.0,93,86
New Balance,100,Fresh Foam Beacon v3,1,119.99,3.0,100,100
New Balance,80,680v6,140,74.95,4.0,81,77
New Balance,85,510v5,55,69.95,4.0,87,91
New Balance,74,Made in US 990v5,0,174.99,0.0,87,90
New Balance,100,Fresh Foam More Trail v1,3,164.99,5.0,100,100
New Balance,79,Fresh Foam More v2,14,164.95,3.0,93,86
New Balance,93,Nitrel v4,16,69.95,4.0,81,100
New Balance,73,Fresh Foam Arishi v3,54,69.95,4.0,83,86
New Balance,100,FuelCell Prism,2,119.99,5.0,100,100
New Balance,100,Fresh Foam Roav,1,79.95,3.0,100,100
New Balance,100,Fresh Foam More Trail v1,3,164.99,5.0,100,100
New Balance,73,Fresh Foam Hierro v5,56,134.99,4.0,96,91
New Balance,74,Made in US 990v5,0,179.99,0.0,87,90
New Balance,86,Fresh Foam Roav Tee Shirt,33,79.95,5.0,87,93
New Balance,100,Shando,1,89.95,4.0,100,100
Mizuno,100,Wave Rider 24,35,129.95,4.0,100,100
On,69,Cloudace,13,199.95,4.0,85,92
Under Armour,100,Charged Escape 3 Evo,9,79.95,5.0,100,100
Mizuno,0,Peachtree 51st Rider Waveknit,18,129.95,5.0,0,0
On,80,Cloudflow,155,139.95,4.0,84,96
Under Armour,100,Charged Pursuit 2 Twist,3,69.95,5.0,67,100
Hoka One One,100,Challenger ATR 6,11,129.95,4.0,100,100
Hoka One One,74,Clifton 7,476,129.95,4.0,83,78
Hoka One One,71,Challenger Mid GORE-TEX®,100,159.95,4.0,100,100
Under Armour,80,Charged Pursuit 2,28,69.95,4.0,89,100
