brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
Johnston & Murphy,80,Bradford Dress Cap Toe Oxford,22,129.95,4.0,86,90
Kenneth Cole Reaction,76,Sim-Plicity,94,39.97,3.0,79,80
Massimo Matteo,100,Bal Plain Toe,14,149.99,4.0,54,93
Florsheim,91,Montinaro Cap Toe Oxford,163,79.95,4.0,92,55
,0,,0,0,0.0,0,0
Stacy Adams,70,Kordell,39,89.99,4.0,75,91
Kenneth Cole Reaction,100,Klay Flex Lace-Up,1,86.18,5.0,100,100
Rockport,73,Marshall Wingtip,35,87.99,4.0,53,85
Magnanni,67,Marco II,4,337.99,3.0,50,67
Johnston & Murphy,100,Tabor Runoff Lace-Up,1,99.9,3.0,100,100
Johnston & Murphy,100,Austin Cap Toe,1,117.99,5.0,100,100
Steve Madden,0,Ronzoe Oxford,0,68.56,0.0,0,0
Anthony Veer,0,Roosevelt Single Monk Strap,0,159.99,0.0,0,0
Florsheim,100,Amelio Cap Toe Oxford,80,114.95,5.0,83,100
Stacy Adams,69,Tinsley Wingtip Oxford,132,69.95,5.0,88,100
Stacy Adams,0,Synergy Wing Tip Oxford,7,104.95,5.0,0,0
Stacy Adams,0,Synergy Wing Tip Oxford,7,104.95,5.0,0,0
Stacy Adams,0,Farwell Wing Tip Double Monk Strap,1,104.95,5.0,0,0
CARLOS by Carlos Santana,64,Power Oxford,17,138.95,4.0,73,71
Rockport,59,Office Essentials Ellingwood,334,87.99,4.0,88,83
Stacy Adams,100,Raiden Cap Toe Oxford,13,89.99,5.0,100,100
Stacy Adams,100,Hewlett Wing Tip Oxford,7,120.0,5.0,50,100
Stacy Adams,0,Trevi Bike Toe Oxford,8,61.04,5.0,0,0
Alexander Noel,100,Full Brogue Cap Toe Oxford,1,245.0,5.0,100,100
Magnanni,0,Laredo,0,395.0,0.0,0,0
Florsheim,100,Salerno Cap Toe Oxford,60,114.95,5.0,100,67
Massimo Matteo,100,Almansa Cap Toe,1,170.0,4.0,100,100
Massimo Matteo,100,Almansa Cap Toe,1,170.0,4.0,100,100
Massimo Matteo,0,Two-Tone Double Monk,0,155.0,0.0,0,0
Dockers,80,Parnell Alpha Plain Toe Oxford,5,59.95,3.0,80,100
Massimo Matteo,0,Almansa Balmoral,0,175.0,0.0,0,0
Nunn Bush,100,Barklay Wing Tip Oxford,6,49.95,5.0,100,100
Stacy Adams,67,Logan Bike Toe Oxford,7,58.64,4.0,67,100
Clarks,0,Citistride Monk,0,104.99,0.0,0,0
,0,,0,0,0.0,0,0
Magnanni,50,Jefferson,2,355.99,5.0,50,100
Kenneth Cole New York,0,Futurepod Lace-Up,0,101.01,0.0,0,0
Dockers,67,Irving,3,49.95,3.0,100,100
Deer Stags,100,Benton,1,80.0,2.0,100,100
J&M Collection,0,Vaughn Wing Tip,0,149.85,0.0,0,0
J&M Collection,0,Vaughn Wing Tip,0,149.85,0.0,0,0
J&M Collection,0,Vaughn Plain Toe,0,149.85,0.0,0,0
J&M Collection,0,Vaughn Plain Toe,0,149.85,0.0,0,0
Ben Sherman,100,Countryside Oxford,1,52.99,3.0,100,100
Clarks,0,Whiddon Pace,0,69.97,0.0,0,0
Alexander Noel,0,The New Yorker Wing Tip,0,235.0,0.0,0,0
Magnanni,0,Crucero,0,375.0,0.0,0,0
Magnanni,0,Bolo,0,395.99,0.0,0,0
Florsheim,100,Postino Plain Toe Oxford,107,89.95,4.0,60,60
Nunn Bush,74,Bourbon Street Moc Toe Oxford with KORE Slip Resistant Walking Comfort Technology,145,59.95,4.0,87,77
Kenneth Cole New York,84,Chief Council,34,99.0,4.0,35,94
Penny Luck,67,Derby,3,294.0,5.0,100,100
CARLOS by Carlos Santana,75,Power Lite Oxford,8,59.0,5.0,75,88
Steve Madden,0,Zeek Oxford,0,68.56,0.0,0,0
Trask,0,Rogan,0,235.99,0.0,0,0
Trask,0,Lansing,0,224.95,0.0,0,0
Massimo Matteo,86,6-Eye Wing Tip,62,142.99,4.0,44,83
Bruno Magli,100,Barone,1,237.99,5.0,100,100
Josef Seibel,0,Earl 05,0,149.95,0.0,0,0
Stacy Adams,100,Raiden Cap Toe Oxford,13,69.98,5.0,100,100
Anthony Veer,0,Roosevelt Single Monk Strap,0,134.99,0.0,0,0
Magnanni,0,Merrion,0,224.99,0.0,0,0
Hush Puppies,100,Shepsky Wing Tip Oxford,2,89.95,3.0,50,100
Nunn Bush,0,Buchanan Plain Toe Oxford,3,69.95,5.0,0,0
Nunn Bush,0,Buchanan Plain Toe Oxford,3,69.95,5.0,0,0
Nunn Bush,0,Buchanan Plain Toe Oxford,3,69.95,5.0,0,0
Nunn Bush,100,Fifth Ward Flex Cap Straight Toe Oxford,1,69.95,1.0,100,100
Mark Nason,86,Westside,115,69.98,4.0,69,90
Stacy Adams,100,Kinsley,12,74.95,5.0,75,100
Massimo Matteo,86,6-Eye Wing Tip,62,142.99,4.0,44,83
Clarks,0,Citistride Monk,0,129.95,0.0,0,0
Stacy Adams,0,Synergy Wing Tip Oxford,7,104.95,5.0,0,0
Stacy Adams,0,Rolando Wing Tip Oxford,2,99.95,5.0,0,0
Carrucci,100,Cool Breeze,7,110.0,3.0,71,50
Rockport,0,Taylor Waterproof Cap Toe,0,99.95,0.0,0,0
Magnanni,0,Segovia,0,375.0,0.0,0,0
Florsheim,0,Sorrento Wing Tip Oxford,5,114.95,4.0,0,0
Florsheim,0,Amelio Perf Cap Toe Oxford,1,114.95,5.0,0,0
Florsheim,100,Forecast Waterproof Cap Toe Oxford,1,124.95,4.0,100,100
Florsheim,0,Uptown Plain Toe Oxford,7,114.95,5.0,0,0
Florsheim,80,Uptown Cap Toe Oxford,58,114.95,5.0,60,80
Florsheim,0,Forecast Waterproof Bike Toe Slip-On,1,124.95,5.0,0,0
Florsheim,0,Forecast Waterproof Bike Toe Oxford,0,124.95,0.0,0,0
Florsheim,0,Sorrento Wing Tip Oxford,5,114.95,4.0,0,0
Carrucci,100,Asphalte,1,87.99,4.0,100,100
Naot,0,Leader,0,199.95,0.0,0,0
Clarks,0,Citistride Monk,0,104.99,0.0,0,0
Deer Stags,100,Oakland,2,49.99,4.0,100,100
Stacy Adams,100,Baxley Wingtip Lace Up Oxford,109,109.95,5.0,50,83
BOSS Hugo Boss,0,Appeal Derby,0,280.0,0.0,0,0
Johnston & Murphy,0,Lewis Cap Toe,0,99.95,0.0,0,0
Stacy Adams,75,Desmond Cap-Toe Monk-Strap Loafer,64,104.95,4.0,88,93
Ted Baker,0,Watele,0,225.0,0.0,0,0
Ted Baker,0,Walster,0,225.0,0.0,0,0
Ted Baker,0,Walster,0,115.39,0.0,0,0
Ted Baker,0,Eizzg,0,87.99,0.0,0,0
ALDO,0,Galerrang-R,0,84.99,0.0,0,0
Nunn Bush,83,Ridgetop Cap Toe Oxford,7,69.95,3.0,50,50
,0,,0,0,0.0,0,0
Trask,100,Landry,2,244.95,4.0,100,100
Nunn Bush,80,Cam Oxford Casual Walking Shoe,154,59.95,4.0,85,79
To Boot New York,0,Ultra Flex Conner,0,279.99,0.0,0,0
Florsheim,0,Uptown Plain Toe Oxford,7,115.0,5.0,0,0
Magnanni,0,Altamira,0,545.0,0.0,0,0
Bostonian,100,No16 Soft Lace,7,100.16,4.0,57,100
Florsheim,88,Montinaro Double Monk Strap,78,79.95,4.0,79,84
Magnanni,0,Crucero,0,375.0,0.0,0,0
Nunn Bush,80,Cam Oxford Casual Walking Shoe,154,59.95,4.0,85,79
Steve Madden,0,Rummi Oxford,0,68.56,0.0,0,0
Nunn Bush,100,Pasadena Cap Toe Oxford,5,59.46,4.0,67,67
Stacy Adams,0,Platon Apron Toe Oxford,6,88.14,5.0,0,0
Johnston & Murphy,0,McClain Dress Monk Strap,0,168.95,0.0,0,0
Florsheim,80,Uptown Cap Toe Oxford,58,114.95,5.0,60,80
Deer Stags,56,Telegraph Comfort Oxford,176,38.98,4.0,76,82
Deer Stags,63,Times Comfort Oxford,684,39.99,4.0,84,86
Florsheim,60,Corbetta Cap Toe Oxford,97,89.95,4.0,89,90
Stacy Adams,100,Raiden Cap Toe Oxford,13,76.52,5.0,100,100
Massimo Matteo,74,6-Eye Bal Cap Toe,45,142.99,4.0,49,88
Stacy Adams,0,Trevi Bike Toe Oxford,8,56.99,5.0,0,0
J&M Collection,100,Cormac Monk,2,299.0,4.0,100,100
Magnanni,100,Melich II,1,275.99,1.0,100,100
Carrucci,50,Union Sq.,2,74.99,5.0,100,100
Trask,0,Rogan,0,294.95,0.0,0,0
Trask,0,Rogan,0,294.95,0.0,0,0
J&M Collection,0,Reece Monk,0,239.99,0.0,0,0
J&M Collection,0,Cormac Slip-On,0,299.0,0.0,0,0
J&M Collection,0,Cormac Slip-On,0,299.0,0.0,0,0
J&M Collection,100,Cormac Cap Toe,1,299.0,5.0,100,100
Penny Luck,67,Derby,3,294.0,5.0,100,100
Stacy Adams,100,Rooney Wing Tip Oxford,8,89.99,5.0,100,100
Magnanni,100,Allen,1,350.0,2.0,100,100
Penny Luck,67,Derby,3,294.0,5.0,100,100
WALK London,0,Luca Monk,0,49.28,0.0,0,0
CARLOS by Carlos Santana,67,Jazz Oxford,6,138.95,5.0,100,100
CARLOS by Carlos Santana,75,Power Lite Oxford,8,38.4,5.0,75,88
Trask,0,Lansing,0,179.99,0.0,0,0
Stacy Adams,100,Winthrop,44,57.06,5.0,100,67
Florsheim,82,Blaze Cap Toe Oxford,61,119.95,4.0,79,87
Bruno Magli,100,Olimpio,1,374.99,5.0,100,100
Bruno Magli,0,Butler,0,395.0,0.0,0,0
Bruno Magli,0,Butler,0,395.0,0.0,0,0
Bruno Magli,100,Sassiolo,2,475.0,5.0,100,100
Giorgio Brutini,0,Tappen,0,54.99,0.0,0,0
Magnanni,100,Lagos,2,375.0,5.0,50,100
Florsheim,100,Amelio Cap Toe Oxford,80,89.95,5.0,83,100
Florsheim,0,Midtown Waterproof Plain Toe Oxford,29,104.95,4.0,0,0
Nunn Bush,100,Fifth Ward Flex Cap Straight Toe Oxford,1,69.95,1.0,100,100
Stacy Adams,100,Trazino,23,72.99,5.0,100,100
Bruno Magli,55,Maioco,12,395.0,5.0,67,100
Bruno Magli,55,Maioco,12,395.0,5.0,67,100
Penny Luck,0,Fords,0,339.0,0.0,0,0
Penny Luck,0,Fords,0,339.0,0.0,0,0
Penny Luck,0,Fords,0,339.0,0.0,0,0
Stacy Adams,0,Synergy Wing Tip Oxford,7,104.95,5.0,0,0
Stacy Adams,0,Synergy Wing Tip Oxford,7,104.95,5.0,0,0
Stacy Adams,0,Callan Wing Tip Oxford,4,114.95,5.0,0,0
Stacy Adams,0,Callan Wing Tip Oxford,4,114.95,5.0,0,0
